Zeitstempel,Kesseltemperatur,Außentemperatur,Pufferspeicher Oben,Pufferspeicher Mitte,Pufferspeicher Unten,Warmwasser
2025-04-02 14:14:52,54.25,11.86,57.93,53.74,52.82,56.02
2025-04-02 14:14:53,54.25,11.86,57.93,53.74,52.82,56.02
2025-04-02 14:14:53,54.25,11.86,57.93,53.74,52.82,56.02
2025-04-02 14:14:57,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:14:58,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:01,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:02,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:03,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:04,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:07,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:09,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:11,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:12,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:14,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:14,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:18,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:19,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:21,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:23,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:24,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:28,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:29,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:31,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:34,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:39,54.25,11.86,57.87,53.74,52.82,56.02
2025-04-02 14:15:41,54.25,11.93,57.87,53.74,52.82,56.02
2025-04-02 14:15:45,54.25,11.93,57.87,53.74,52.82,56.02
2025-04-02 14:15:50,54.25,11.93,57.87,53.74,52.82,56.02
2025-04-02 14:15:51,54.25,11.93,57.82,53.74,52.82,56.02
2025-04-02 14:15:55,54.25,11.93,57.82,53.74,52.82,56.02
2025-04-02 14:16:00,54.25,11.93,57.82,53.74,52.82,56.02
2025-04-02 14:16:01,54.25,11.93,57.82,53.74,52.82,56.02
2025-04-02 14:16:05,54.25,11.93,57.82,53.68,52.82,56.02
2025-04-02 14:16:10,54.25,11.93,57.82,53.68,52.82,56.02
2025-04-02 14:16:12,54.25,11.93,57.82,53.68,52.82,56.02
2025-04-02 14:16:20,54.25,11.93,57.82,53.68,52.82,56.02
2025-04-02 14:16:22,54.25,11.93,57.82,53.68,52.82,56.02
2025-04-02 14:16:25,54.25,11.93,57.82,53.68,52.82,56.02
2025-04-02 14:16:31,54.25,11.93,57.82,53.68,52.82,56.02
2025-04-02 14:16:32,54.25,11.93,57.82,53.68,52.82,56.02
2025-04-02 14:16:36,54.25,11.93,57.82,53.68,52.82,56.02
2025-04-02 14:16:41,54.25,11.93,57.76,53.68,52.82,56.02
2025-04-02 14:16:42,54.25,11.93,57.76,53.68,52.82,56.02
2025-04-02 14:16:46,54.25,11.93,57.76,53.68,52.82,56.02
2025-04-02 14:16:51,54.25,11.93,57.76,53.68,52.82,56.02
2025-04-02 14:16:52,54.25,11.93,57.76,53.68,52.82,56.02
